"Unfiltered word count","Occurrences","Percentage"
"de",1220,58.326
"dat",669,31.984
"het",654,31.266
"een",457,21.848
"van",427,20.414
"en",417,19.936
"is",376,17.976
"ik",335,16.016
"niet",300,14.342
"in",267,12.765
"die",265,12.669
"heer",259,12.382
"u",233,11.139
"te",233,11.139
"met",230,10.996
"voor",222,10.613
"op",212,10.135
"we",192,0.9179
"wij",185,0.8844
"maar",176,0.8414
"dan",175,0.8366
"als",174,0.8319
"roemer",172,0.8223
"zijn",165,0.7888
"er",163,0.7793
"om",162,0.7745
"mensen",144,0.6884
"zorg",141,0.6741
"je",140,0.6693
"aan",139,0.6645
"over",129,0.6167
"ook",123,0.588
"sp",120,0.5737
"wat",120,0.5737
"hebben",111,0.5307
"daar",105,0.502
"dit",89,0.4255
"of",87,0.4159
"nu",83,0.3968
"kunnen",83,0.3968
"naar",82,0.392
"al",78,0.3729
"gaan",76,0.3633
"meer",76,0.3633
"nog",75,0.3586
"gaat",73,0.349
"eigen",69,0.3299
"moeten",68,0.3251
"moet",67,0.3203
"heel",65,0.3108
"bij",65,0.3108
"heeft",64,0.306
"waar",64,0.306
"geen",61,0.2916
"maken",60,0.2868
"risico",56,0.2677
"doen",56,0.2677
"veel",56,0.2677
"wel",56,0.2677
"worden",54,0.2582
"zo",53,0.2534
"vraag",47,0.2247
"jaar",47,0.2247
"hij",46,0.2199
"mijnheer",45,0.2151
"kan",45,0.2151
"ze",44,0.2104
"hier",44,0.2104
"wil",44,0.2104
"uw",43,0.2056
"geld",43,0.2056
"—",42,0.2008
"systeem",41,0.196
"uit",41,0.196
"willen",40,0.1912
"wordt",40,0.1912
"door",40,0.1912
"eens",40,0.1912
"zij",40,0.1912
"zeggen",39,0.1865
"bureaucratie",38,0.1817
"zegt",38,0.1817
"ons",38,0.1817
"zien",37,0.1769
"zorgen",37,0.1769
"want",37,0.1769
"heb",37,0.1769
"mij",37,0.1769
"deze",36,0.1721
"dus",36,0.1721
"voorzitter",35,0.1673
"ben",35,0.1673
"komen",35,0.1673
"goed",33,0.1578
"land",33,0.1578
"laten",33,0.1578
"nederland",32,0.153
"doorgerekend",32,0.153
"samen",32,0.153
"pechtold",32,0.153
"allemaal",32,0.153
"omdat",31,0.1482
"krijgen",31,0.1482
"beter",30,0.1434
"zorgverzekeraars",30,0.1434
"alleen",30,0.1434
"zou",30,0.1434
"zijlstra",29,0.1386
"zich",29,0.1386
"mee",29,0.1386
"plan",28,0.1339
"alle",28,0.1339
"tot",28,0.1339
"hebt",27,0.1291
"komt",26,0.1243
"graag",26,0.1243
"miljard",26,0.1243
"iedereen",25,0.1195
"punt",25,0.1195
"kabinet",25,0.1195
"hoe",25,0.1195
"steeds",24,0.1147
"tegen",23,0.11
"iets",23,0.11
"voorstel",23,0.11
"gewoon",23,0.11
"hun",23,0.11
"zorgfonds",23,0.11
"wilt",23,0.11
"vvd",23,0.11
"was",23,0.11
"wachtlijsten",22,0.1052
"waarin",22,0.1052
"doet",22,0.1052
"toch",21,0.1004
"hele",21,0.1004
"zullen",21,0.1004
"jaren",21,0.1004
"volgens",21,0.1004
"ga",20,0.0956
"ja",20,0.0956
"onze",20,0.0956
"laat",20,0.0956
"werken",20,0.0956
"elkaar",20,0.0956
"inderdaad",20,0.0956
"betalen",20,0.0956
"weer",20,0.0956
"af",19,0.0908
"keer",19,0.0908
"vandaag",19,0.0908
"andere",19,0.0908
"nodig",18,0.0861
"bent",18,0.0861
"samsom",18,0.0861
"kunt",18,0.0861
"anders",18,0.0861
"grote",18,0.0861
"mijn",18,0.0861
"kosten",18,0.0861
"één",18,0.0861
"deel",17,0.0813
"manier",17,0.0813
"premier",17,0.0813
"vind",17,0.0813
"stelsel",17,0.0813
"goede",17,0.0813
"weet",17,0.0813
"alles",17,0.0813
"kijken",16,0.0765
"weten",16,0.0765
0,16,0.0765
"staat",16,0.0765
"geven",16,0.0765
"halen",16,0.0765
"niets",16,0.0765
"echt",16,0.0765
"weg",16,0.0765
"terwijl",16,0.0765
"marktwerking",15,0.0717
"toen",15,0.0717
"ander",15,0.0717
"minister",15,0.0717
"overheid",15,0.0717
"nationaal",15,0.0717
"voorstellen",15,0.0717
"denk",15,0.0717
"zelf",15,0.0717
"wilders",15,0.0717
"d66",15,0.0717
"zal",15,0.0717
1,14,0.0669
"kinderen",14,0.0669
"stelselwijziging",14,0.0669
"tien",14,0.0669
"tijd",14,0.0669
"partij",14,0.0669
