"Unfiltered word count","Occurrences","Percentage"
"de",1509,66.729
"het",736,32.546
"dat",639,28.257
"van",617,27.284
"een",454,20.076
"en",443,19.59
"in",432,19.103
"is",416,18.396
"ik",364,16.096
"te",267,11.807
"die",267,11.807
"op",246,10.878
"niet",242,10.701
"voor",219,0.9684
"over",214,0.9463
"om",200,0.8844
"ook",196,0.8667
"zijn",189,0.8358
"maar",178,0.7871
"er",175,0.7739
"met",175,0.7739
"we",166,0.7341
"motie",156,0.6898
"wij",151,0.6677
"heer",148,0.6545
"aan",138,0.6102
"als",132,0.5837
"dan",123,0.5439
"je",122,0.5395
"hebben",116,0.513
"deze",110,0.4864
"gaat",98,0.4334
"dit",95,0.4201
"naar",90,0.398
"wordt",83,0.367
"door",80,0.3538
"wat",80,0.3538
"nog",76,0.3361
"minister",73,0.3228
"kabinet",72,0.3184
"tot",71,0.314
"kamer",70,0.3095
"daar",67,0.2963
"heeft",67,0.2963
"kan",67,0.2963
"moet",66,0.2919
"wel",65,0.2874
"of",64,0.283
"geen",64,0.283
"bij",64,0.283
"nederland",63,0.2786
"premier",63,0.2786
"kunnen",61,0.2697
"mensen",59,0.2609
"mij",59,0.2609
"moeten",58,0.2565
"nr",56,0.2476
"worden",56,0.2476
"nu",55,0.2432
"gaan",55,0.2432
"meer",55,0.2432
"hij",54,0.2388
"voorzitter",53,0.2344
"al",52,0.2299
"doen",52,0.2299
"uit",51,0.2255
"zij",51,0.2255
"wil",50,0.2211
"hier",48,0.2123
"onze",47,0.2078
"pechtold",47,0.2078
"—",46,0.2034
"rutte",46,0.2034
"was",45,0.199
"land",44,0.1946
"heb",44,0.1946
"zo",43,0.1901
"waar",43,0.1901
"heel",41,0.1813
"eigen",39,0.1725
"zorg",39,0.1725
"vrijheid",38,0.168
"ons",36,0.1592
"regering",34,0.1503
"mijn",34,0.1503
"der",34,0.1503
"zal",34,0.1503
"ze",33,0.1459
"tegen",33,0.1459
"debat",33,0.1459
"veel",33,0.1459
"president",31,0.1371
"staaij",31,0.1371
"zeggen",31,0.1371
"krijgt",31,0.1371
"orde",30,0.1327
"constaterende",30,0.1327
"dag",30,0.1327
"hoe",30,0.1327
"komen",30,0.1327
"stuk",29,0.1282
"zijlstra",29,0.1282
"staat",29,0.1282
"zich",29,0.1282
"dus",29,0.1282
"segers",28,0.1238
"roemer",28,0.1238
"vraag",27,0.1194
"goed",27,0.1194
"omdat",27,0.1194
"gehoord",26,0.115
34550,26,0.115
"zou",26,0.115
"moment",25,0.1106
"toch",25,0.1106
"beraadslaging",25,0.1106
"zullen",25,0.1106
"d66",25,0.1106
"want",25,0.1106
"alle",25,0.1106
"vvd",25,0.1106
"eerste",25,0.1106
"verzoekt",24,0.1061
"andere",24,0.1061
"voorgesteld",24,0.1061
"willen",24,0.1061
"zien",24,0.1061
"alleen",24,0.1061
2017,24,0.1061
"jaar",24,0.1061
"termijn",23,0.1017
"vandaag",23,0.1017
"zorgen",23,0.1017
"volgende",23,0.1017
"overwegende",23,0.1017
"voldoende",23,0.1017
"echt",23,0.1017
"blijkt",23,0.1017
"begroting",23,0.1017
"sp",22,0.0973
"blijven",22,0.0973
"waarin",22,0.0973
"ervan",22,0.0973
"daarom",22,0.0973
"ben",22,0.0973
"klaver",22,0.0973
"u",21,0.0929
"nodig",21,0.0929
"steeds",21,0.0929
"eens",21,0.0929
"hun",21,0.0929
"laten",21,0.0929
"zei",21,0.0929
"iedereen",20,0.0884
"risico",20,0.0884
"anders",20,0.0884
"zegt",20,0.0884
"zondag",20,0.0884
"had",20,0.0884
"weer",20,0.0884
"mee",20,0.0884
"maken",20,0.0884
"indiening",19,0.084
"laat",19,0.084
"staan",19,0.084
"maatregelen",19,0.084
"beleid",19,0.084
"laatste",19,0.084
"even",19,0.084
"verder",19,0.084
"ondersteund",19,0.084
"geld",18,0.0796
"graag",18,0.0796
"gezegd",18,0.0796
"af",17,0.0752
"samsom",17,0.0752
"ging",17,0.0752
"allemaal",17,0.0752
"ontraad",17,0.0752
"wilders",17,0.0752
"geven",17,0.0752
"vind",17,0.0752
"namelijk",17,0.0752
"mag",17,0.0752
"open",16,0.0708
"komt",16,0.0708
"hele",16,0.0708
"manier",16,0.0708
"tweede",16,0.0708
"leden",16,0.0708
"houden",16,0.0708
"eigenlijk",16,0.0708
2016,16,0.0708
"hem",16,0.0708
"groenlinks",16,0.0708
"na",15,0.0663
"daarover",15,0.0663
"werken",15,0.0663
"partijen",15,0.0663
"elkaar",15,0.0663
"zelf",15,0.0663
"vaak",15,0.0663
"tussen",15,0.0663
"antwoord",15,0.0663
"krijgen",15,0.0663
"soms",15,0.0663
"asielzoekers",15,0.0663
"keuzevrijheid",14,0.0619
"brief",14,0.0619
"twee",14,0.0619
"zitten",14,0.0619
"haar",14,0.0619
"hebt",14,0.0619
"dank",14,0.0619
"ervoor",14,0.0619
"samenleving",14,0.0619
"sgp",14,0.0619
"natuurlijk",13,0.0575
"discussie",13,0.0575
"systeem",13,0.0575
"wereld",13,0.0575
"mening",13,0.0575
0,13,0.0575
"afgelopen",13,0.0575
"zaken",13,0.0575
"grote",13,0.0575
"woord",13,0.0575
"inderdaad",13,0.0575
"geval",13,0.0575
"iets",13,0.0575
"nederlanders",13,0.0575
"weet",13,0.0575
"onder",13,0.0575
"ontraden",13,0.0575
"toe",13,0.0575
"zit",13,0.0575
"keer",12,0.0531
"kijken",12,0.0531
"samen",12,0.0531
"fractie",12,0.0531
"juist",12,0.0531
"woorden",12,0.0531
"beter",12,0.0531
"punt",12,0.0531
"zorgverzekeraars",12,0.0531
"zelfs",12,0.0531
"vinden",12,0.0531
"gemeenten",12,0.0531
"denk",12,0.0531
"wanneer",12,0.0531
"dien",12,0.0531
"zoals",12,0.0531
"meningsuiting",12,0.0531
"gewoon",12,0.0531
"één",12,0.0531
"jaren",12,0.0531
"leven",12,0.0531
"ten",12,0.0531
15,11,0.0486
"me",11,0.0486
"ondersteuning",11,0.0486
"buma",11,0.0486
"voeren",11,0.0486
"helemaal",11,0.0486
"overheid",11,0.0486
"waren",11,0.0486
"zeker",11,0.0486
"mogelijk",11,0.0486
"doet",11,0.0486
"daarbij",11,0.0486
"vanuit",11,0.0486
"gesproken",11,0.0486
"blijft",11,0.0486
"gesprek",11,0.0486
"plaats",11,0.0486
"werk",11,0.0486
"werd",11,0.0486
"volgens",11,0.0486
"nee",11,0.0486
"zie",11,0.0486
"zouden",11,0.0486
"c",10,0.0442
"echter",10,0.0442
"marktwerking",10,0.0442
"probleem",10,0.0442
"geweest",10,0.0442
"landen",10,0.0442
"duidelijk",10,0.0442
"iemand",10,0.0442
"waarop",10,0.0442
"gisteren",10,0.0442
"haersma",10,0.0442
"algemene",10,0.0442
