"Some top phrases containing 3 words (without punctuation marks)","Occurrences"
"van der staaij",31
"de heer pechtold",29
"op stuk nr",28
"de minister president",27
"de heer van",27
"deze motie is",25
"tot de orde",25
"orde van de",24
"motie is voorgesteld",24
"zij krijgt nr",24
"over tot de",24
"van de dag",24
"gaat over tot",24
"en gaat over",24
"gehoord de beraadslaging",24
"kamer gehoord de",24
"de voorzitter deze",24
"de kamer gehoord",24
"is voorgesteld door",24
"voorzitter deze motie",24
"de orde van",24
"de heer zijlstra",23
"verzoekt de regering",22
"heer van der",21
"heer pechtold d66",19
"blijkt wordt de",19
"mij blijkt wordt",19
"ervan voldoende ondersteund",19
"naar mij blijkt",19
"wordt de indiening",19
