"Unfiltered word count","Occurrences","Percentage"
"de",580,46.586
"dat",470,37.751
"het",405,32.53
"ik",249,20
"een",226,18.153
"is",216,17.349
"van",214,17.189
"in",213,17.108
"en",208,16.707
"die",188,15.1
"niet",185,14.859
"we",155,12.45
"te",153,12.289
"er",128,10.281
"zijn",118,0.9478
"ook",116,0.9317
"heer",113,0.9076
"op",112,0.8996
"om",108,0.8675
"wij",105,0.8434
"met",103,0.8273
"minister",96,0.7711
"maar",96,0.7711
"daar",93,0.747
"dan",91,0.7309
"aan",85,0.6827
"u",82,0.6586
"je",75,0.6024
"als",75,0.6024
"over",73,0.5863
"voor",73,0.5863
"mensen",72,0.5783
"hebben",64,0.5141
"rutte",64,0.5141
"nu",61,0.49
"kunnen",61,0.49
"doen",59,0.4739
"dit",59,0.4739
"nog",55,0.4418
"heel",54,0.4337
"wat",51,0.4096
"—",48,0.3855
"heb",47,0.3775
"moeten",45,0.3614
"of",44,0.3534
"hier",42,0.3373
"wel",41,0.3293
"moet",40,0.3213
"kan",40,0.3213
"vraag",38,0.3052
"gaat",38,0.3052
"naar",38,0.3052
"zou",38,0.3052
"worden",38,0.3052
"president",35,0.2811
"heeft",35,0.2811
"eens",35,0.2811
"was",35,0.2811
"nederland",34,0.2731
"andere",34,0.2731
"wordt",34,0.2731
"hij",33,0.2651
"ze",32,0.257
"premier",32,0.257
"dus",32,0.257
"bij",31,0.249
"al",30,0.241
"zeggen",30,0.241
"landen",28,0.2249
"echt",28,0.2249
"zo",27,0.2169
"mij",27,0.2169
"jaar",27,0.2169
"voorzitter",25,0.2008
"motie",25,0.2008
"onze",24,0.1928
"samsom",24,0.1928
"gaan",24,0.1928
"zegt",24,0.1928
"door",24,0.1928
"krijgen",24,0.1928
"alle",23,0.1847
"tegen",22,0.1767
"geen",22,0.1767
"mijn",22,0.1767
"waar",22,0.1767
"hoe",22,0.1767
"zich",21,0.1687
"veel",21,0.1687
"zouden",21,0.1687
"toch",20,0.1606
0,20,0.1606
"meer",20,0.1606
"wil",20,0.1606
"zal",20,0.1606
"goed",19,0.1526
"griekse",19,0.1526
"één",19,0.1526
"want",19,0.1526
"maken",19,0.1526
"turkije",18,0.1446
"gewoon",18,0.1446
"weer",18,0.1446
"wie",18,0.1446
"allemaal",17,0.1365
"gezegd",17,0.1365
"vervolgens",17,0.1365
"wilders",17,0.1365
"griekenland",17,0.1365
"mee",17,0.1365
"alles",17,0.1365
"uit",17,0.1365
"klaver",17,0.1365
"komen",17,0.1365
"kunt",16,0.1285
"pechtold",16,0.1285
"deze",16,0.1285
"vluchtelingen",16,0.1285
"doet",16,0.1285
"ons",16,0.1285
"zei",16,0.1285
"moment",15,0.1205
"afspraak",15,0.1205
"zeker",15,0.1205
"kabinet",15,0.1205
"vorig",15,0.1205
"zorgen",15,0.1205
"zullen",15,0.1205
"ben",15,0.1205
"had",15,0.1205
"even",15,0.1205
"tot",15,0.1205
"opvang",14,0.1124
"land",14,0.1124
"gedaan",14,0.1124
"alleen",14,0.1124
"omdat",14,0.1124
"namelijk",14,0.1124
"afspraken",14,0.1124
"laten",14,0.1124
"iedereen",13,0.1044
"vragen",13,0.1044
"pvda",13,0.1044
"gisteren",13,0.1044
"hebt",13,0.1044
"volgens",13,0.1044
"precies",13,0.1044
"reactie",13,0.1044
"eerste",13,0.1044
"uw",12,0.0964
"natuurlijk",12,0.0964
"geregistreerd",12,0.0964
"paar",12,0.0964
"toen",12,0.0964
"helemaal",12,0.0964
"punt",12,0.0964
"staan",12,0.0964
"zoals",12,0.0964
"nederlandse",12,0.0964
"antwoord",12,0.0964
"dag",12,0.0964
"nemen",12,0.0964
"groenlinks",12,0.0964
"ja",11,0.0884
"vanaf",11,0.0884
"weten",11,0.0884
"regering",11,0.0884
"groep",11,0.0884
"ervoor",11,0.0884
"zelf",11,0.0884
"aantal",11,0.0884
"geven",11,0.0884
"taalles",11,0.0884
"bontes",11,0.0884
"hem",11,0.0884
"mag",11,0.0884
"voorkomen",11,0.0884
"status",10,0.0803
"gebeurt",10,0.0803
"na",10,0.0803
"discussie",10,0.0803
"nodig",10,0.0803
"komt",10,0.0803
"ander",10,0.0803
"twee",10,0.0803
"lang",10,0.0803
"werken",10,0.0803
"graag",10,0.0803
"staat",10,0.0803
"hele",10,0.0803
"geldt",10,0.0803
"mogelijk",10,0.0803
"doel",10,0.0803
"vind",10,0.0803
"nederlander",10,0.0803
"volgende",10,0.0803
"d66",10,0.0803
"nederlanders",10,0.0803
"turkse",10,0.0803
"hun",10,0.0803
"toe",10,0.0803
"zij",10,0.0803
"terroristen",9,0.0723
"europa",9,0.0723
"kans",9,0.0723
"echter",9,0.0723
"kijken",9,0.0723
"zitten",9,0.0723
"debat",9,0.0723
"willen",9,0.0723
"denk",9,0.0723
"zien",9,0.0723
"gemaakt",9,0.0723
"segers",9,0.0723
"proberen",9,0.0723
"kamer",9,0.0723
"weet",9,0.0723
"net",9,0.0723
"uiteindelijk",9,0.0723
"altijd",9,0.0723
"roemer",9,0.0723
"me",8,0.0643
"kant",8,0.0643
"blijven",8,0.0643
"geld",8,0.0643
"instroom",8,0.0643
"duidelijk",8,0.0643
"gelijk",8,0.0643
"nationaal",8,0.0643
"elkaar",8,0.0643
"daarom",8,0.0643
"pleur",8,0.0643
"zaken",8,0.0643
"zeer",8,0.0643
"problemen",8,0.0643
"inderdaad",8,0.0643
"boven",8,0.0643
"vond",8,0.0643
"houden",8,0.0643
"eigenlijk",8,0.0643
"aantallen",8,0.0643
"belang",8,0.0643
"christenunie",8,0.0643
"blijft",8,0.0643
"maanden",8,0.0643
"norm",8,0.0643
"zit",8,0.0643
"asielzoekers",8,0.0643
17,7,0.0562
"openbaar",7,0.0562
"ministerie",7,0.0562
"tijd",7,0.0562
"hadden",7,0.0562
"dingen",7,0.0562
"gezamenlijk",7,0.0562
"camera",7,0.0562
"oprotten",7,0.0562
"italië",7,0.0562
"politiek",7,0.0562
"demonstreren",7,0.0562
"steeds",7,0.0562
"waarom",7,0.0562
"hard",7,0.0562
"eerst",7,0.0562
"aangenomen",7,0.0562
"maak",7,0.0562
"tussen",7,0.0562
"maatregelen",7,0.0562
"tweede",7,0.0562
"middel",7,0.0562
"overigens",7,0.0562
"der",7,0.0562
"doe",7,0.0562
"hen",7,0.0562
"maakt",7,0.0562
"lager",7,0.0562
"werk",7,0.0562
"onder",7,0.0562
"helpen",7,0.0562
"ten",7,0.0562
"top",7,0.0562
"daarmee",7,0.0562
"buitengrenzen",7,0.0562
"snel",7,0.0562
"regio",7,0.0562
7,6,0.0482
"mogen",6,0.0482
"lopen",6,0.0482
"taal",6,0.0482
"verschillen",6,0.0482
"vindt",6,0.0482
"team",6,0.0482
"dezelfde",6,0.0482
"bijna",6,0.0482
"buma",6,0.0482
"bieden",6,0.0482
"onderwerp",6,0.0482
"klaar",6,0.0482
"anders",6,0.0482
"iemand",6,0.0482
"zijlstra",6,0.0482
"waren",6,0.0482
"inmiddels",6,0.0482
"misschien",6,0.0482
"investeren",6,0.0482
"verantwoordelijkheid",6,0.0482
"onmiddellijk",6,0.0482
"zaak",6,0.0482
"grote",6,0.0482
"deel",6,0.0482
"hulp",6,0.0482
"europese",6,0.0482
"geval",6,0.0482
"daarbij",6,0.0482
"drie",6,0.0482
"gebruiken",6,0.0482
"iets",6,0.0482
"vanuit",6,0.0482
"vraagstuk",6,0.0482
"vasteland",6,0.0482
"kun",6,0.0482
"nee",6,0.0482
"nou",6,0.0482
"tsipras",6,0.0482
"sluiten",6,0.0482
"verder",6,0.0482
"hetzelfde",6,0.0482
"zie",6,0.0482
"oekraïne",6,0.0482
"gebeuren",6,0.0482
"recht",6,0.0482
"inzetten",6,0.0482
5,5,0.0402
"stel",5,0.0402
"koenders",5,0.0402
"bent",5,0.0402
"risico",5,0.0402
"staaij",5,0.0402
"ging",5,0.0402
"beetje",5,0.0402
"verzoek",5,0.0402
"toezegging",5,0.0402
"internationale",5,0.0402
"internationaal",5,0.0402
"daarover",5,0.0402
"verworvenheden",5,0.0402
"klopt",5,0.0402
"zelfs",5,0.0402
"vinden",5,0.0402
"opmerking",5,0.0402
