"Unfiltered word count","Occurrences","Percentage"
"de",460,51.954
"dat",287,32.415
"het",218,24.622
"en",185,20.895
"een",174,19.652
"van",166,18.749
"die",156,17.619
"is",152,17.167
"ik",140,15.812
"in",138,15.586
"we",122,13.779
"niet",120,13.553
"zijn",116,13.101
"er",104,11.746
"te",95,10.73
"voor",93,10.504
"maar",92,10.391
"met",83,0.9374
"op",79,0.8923
"ook",75,0.8471
"mensen",69,0.7793
"om",63,0.7115
"u",59,0.6664
"aan",58,0.6551
"heer",57,0.6438
"minister",55,0.6212
"hebben",54,0.6099
"dan",52,0.5873
"wat",52,0.5873
"als",47,0.5308
"je",45,0.5082
"kunnen",44,0.497
"heel",41,0.4631
"dit",39,0.4405
"ze",38,0.4292
"nog",38,0.4292
"doen",35,0.3953
"rutte",35,0.3953
"wel",35,0.3953
"nu",34,0.384
"over",34,0.384
"hij",34,0.384
"veel",33,0.3727
"moeten",33,0.3727
"of",32,0.3614
"wilders",32,0.3614
"wij",32,0.3614
"bij",31,0.3501
"naar",30,0.3388
"heeft",28,0.3162
"meer",28,0.3162
"dus",27,0.3049
"worden",27,0.3049
"gaat",26,0.2937
"daar",26,0.2937
"krijgen",25,0.2824
"zo",24,0.2711
"—",24,0.2711
"goed",24,0.2711
"willen",24,0.2711
"jongeren",24,0.2711
"zou",24,0.2711
"gaan",23,0.2598
"deze",23,0.2598
"door",23,0.2598
"maken",23,0.2598
"kabinet",22,0.2485
"hun",22,0.2485
"al",21,0.2372
"president",21,0.2372
"ouderen",20,0.2259
"want",20,0.2259
"grote",19,0.2146
"wordt",19,0.2146
"nederland",18,0.2033
"rente",18,0.2033
"geen",18,0.2033
"hier",18,0.2033
"zich",18,0.2033
"waar",18,0.2033
"leven",18,0.2033
"jaar",18,0.2033
"wil",18,0.2033
"eens",17,0.192
"heb",17,0.192
"kan",17,0.192
"uit",17,0.192
"iedereen",16,0.1807
"zorgen",16,0.1807
"mij",16,0.1807
"natuurlijk",15,0.1694
"komt",15,0.1694
"andere",15,0.1694
"allemaal",15,0.1694
"elkaar",15,0.1694
"zegt",15,0.1694
"mijn",15,0.1694
"roemer",15,0.1694
"vraag",14,0.1581
"toch",14,0.1581
"zekerheid",14,0.1581
"ons",14,0.1581
"zal",14,0.1581
"zeggen",13,0.1468
"omdat",13,0.1468
"zullen",13,0.1468
"weer",13,0.1468
"economische",13,0.1468
"pensioen",12,0.1355
"onze",12,0.1355
"krol",12,0.1355
"wajong",12,0.1355
"echt",12,0.1355
"uiteindelijk",12,0.1355
"laten",12,0.1355
"zit",12,0.1355
"jonge",12,0.1355
"minder",11,0.1242
"inderdaad",11,0.1242
"tussen",11,0.1242
"koopkracht",11,0.1242
"iets",11,0.1242
"sociale",11,0.1242
"jaren",11,0.1242
"pvv",11,0.1242
"was",11,0.1242
"zij",11,0.1242
"systeem",10,0.1129
"land",10,0.1129
"helemaal",10,0.1129
"generaties",10,0.1129
"toekomst",10,0.1129
"alleen",10,0.1129
"moet",10,0.1129
"werk",10,0.1129
"nou",10,0.1129
"wie",10,0.1129
"slag",10,0.1129
"komen",10,0.1129
"na",9,0.1016
"bent",9,0.1016
"kunt",9,0.1016
"partij",9,0.1016
"zitten",9,0.1016
"weten",9,0.1016
"laag",9,0.1016
"zelfs",9,0.1016
"hebt",9,0.1016
"vervolgens",9,0.1016
"gedaan",9,0.1016
"mevrouw",9,0.1016
"thieme",9,0.1016
"had",9,0.1016
"hoe",9,0.1016
"miljard",9,0.1016
"mee",9,0.1016
"nemen",9,0.1016
"tot",9,0.1016
"zeg",9,0.1016
"zouden",9,0.1016
"kant",8,0.0904
"mooie",8,0.0904
"voorzitter",8,0.0904
"vragen",8,0.0904
"nooit",8,0.0904
"kijk",8,0.0904
"rekenrente",8,0.0904
"lage",8,0.0904
"mijnheer",8,0.0904
"hand",8,0.0904
"afgelopen",8,0.0904
"vinden",8,0.0904
"hele",8,0.0904
"gemaakt",8,0.0904
"vaak",8,0.0904
"ben",8,0.0904
"één",8,0.0904
"huidige",8,0.0904
"werkelijkheid",8,0.0904
"alles",8,0.0904
"oud",8,0.0904
"pensioenen",8,0.0904
"onder",8,0.0904
