"Unfiltered word count","Occurrences","Percentage"
"de",11426,56.737
"dat",6695,33.244
"het",6311,31.338
"van",4244,21.074
"een",4047,20.096
"en",3783,18.785
"is",3719,18.467
"ik",3441,17.087
"in",3253,16.153
"niet",2872,14.261
"die",2750,13.655
"te",2131,10.582
"we",2067,10.264
"op",1971,0.9787
"voor",1918,0.9524
"heer",1902,0.9445
"zijn",1799,0.8933
"maar",1798,0.8928
"er",1752,0.87
"ook",1742,0.865
"met",1713,0.8506
"als",1532,0.7607
"om",1515,0.7523
"je",1395,0.6927
"dan",1290,0.6406
"wij",1284,0.6376
"aan",1188,0.5899
"over",1175,0.5835
"hebben",1134,0.5631
"u",1064,0.5283
"wat",1024,0.5085
"mensen",1015,0.504
"dit",958,0.4757
"daar",901,0.4474
"naar",796,0.3953
"nog",776,0.3853
"of",709,0.3521
"gaat",705,0.3501
"minister",676,0.3357
"moeten",675,0.3352
"wel",648,0.3218
"bij",647,0.3213
"heel",639,0.3173
"heeft",635,0.3153
"nu",631,0.3133
"doen",620,0.3079
"kunnen",619,0.3074
"hij",599,0.2974
"—",576,0.286
"nederland",550,0.2731
"moet",548,0.2721
"hier",547,0.2716
"meer",543,0.2696
"al",534,0.2652
"kan",520,0.2582
"gaan",510,0.2532
"zo",503,0.2498
"geen",501,0.2488
"door",492,0.2443
"worden",488,0.2423
"wordt",482,0.2393
"kabinet",479,0.2379
"ze",476,0.2364
"zou",454,0.2254
"deze",451,0.2239
"was",436,0.2165
"onze",435,0.216
"waar",430,0.2135
"heb",423,0.21
"veel",415,0.2061
"jaar",410,0.2036
"zeggen",409,0.2031
"dus",406,0.2016
"land",405,0.2011
"wil",393,0.1951
"uit",391,0.1942
"rutte",390,0.1937
"mij",390,0.1937
"vvd",374,0.1857
"ons",371,0.1842
"maken",359,0.1783
"vraag",357,0.1773
"want",357,0.1773
"tot",346,0.1718
"zijlstra",341,0.1693
"goed",339,0.1683
"zorg",338,0.1678
"eens",336,0.1668
"roemer",332,0.1649
"andere",331,0.1644
"voorzitter",323,0.1604
"zegt",316,0.1569
"mijn",314,0.1559
"willen",309,0.1534
"zij",306,0.1519
"toch",296,0.147
"komen",293,0.1455
"eigen",292,0.145
"pechtold",291,0.1445
"tegen",285,0.1415
"alleen",274,0.1361
"ben",274,0.1361
"premier",273,0.1356
"zich",272,0.1351
"echt",271,0.1346
"weer",267,0.1326
"vrijheid",262,0.1301
"wilders",259,0.1286
"hoe",254,0.1261
"omdat",252,0.1251
"laten",248,0.1231
"president",245,0.1217
"zal",243,0.1207
"hun",240,0.1192
"gewoon",236,0.1172
"sp",234,0.1162
"zien",230,0.1142
"alle",228,0.1132
"motie",215,0.1068
"allemaal",210,0.1043
"elkaar",209,0.1038
"vind",209,0.1038
"mee",207,0.1028
"staat",203,0.1008
"zullen",201,0.0998
"geld",198,0.0983
"iets",198,0.0983
"zorgen",197,0.0978
"kamer",196,0.0973
"iedereen",195,0.0968
"d66",194,0.0963
"even",193,0.0958
"buma",192,0.0953
"krijgen",192,0.0953
"zei",192,0.0953
"komt",190,0.0943
"klaver",187,0.0929
"punt",185,0.0919
"nee",184,0.0914
"één",183,0.0909
"kunt",181,0.0899
"samsom",180,0.0894
"namelijk",178,0.0884
"keer",177,0.0879
"laat",174,0.0864
"steeds",173,0.0859
"cda",173,0.0859
"had",172,0.0854
"grote",170,0.0844
"partij",168,0.0834
"gezegd",166,0.0824
"weet",166,0.0824
"mag",164,0.0814
"staan",162,0.0804
"net",162,0.0804
"af",161,0.0799
"helemaal",160,0.0794
"hebt",160,0.0794
"inderdaad",159,0.079
"anders",156,0.0775
"gedaan",156,0.0775
"waarom",155,0.077
"hele",155,0.077
"tussen",155,0.077
"mijnheer",154,0.0765
"na",153,0.076
"toen",153,0.076
"kijken",152,0.0755
"doet",152,0.0755
"risico",151,0.075
"zelf",151,0.075
"segers",150,0.0745
"uw",149,0.074
"waarin",149,0.074
"zoals",149,0.074
"werken",148,0.0735
"afgelopen",148,0.0735
"twee",147,0.073
"pvv",147,0.073
"geven",145,0.072
"moment",144,0.0715
"jaren",144,0.0715
"groenlinks",144,0.0715
"altijd",142,0.0705
"zeg",141,0.07
"eerste",141,0.07
"zie",139,0.069
"ga",138,0.0685
"groep",138,0.0685
"natuurlijk",137,0.068
"denk",136,0.0675
"samenleving",136,0.0675
"der",135,0.067
"ja",133,0.066
"precies",132,0.0655
"zouden",132,0.0655
"graag",131,0.065
"werk",130,0.0646
"alles",130,0.0646
"weg",130,0.0646
"miljoen",130,0.0646
"antwoord",129,0.0641
"nodig",128,0.0636
"minder",127,0.0631
"tijd",126,0.0626
"pvda",126,0.0626
"volgens",126,0.0626
"juist",125,0.0621
"onder",123,0.0611
"staaij",121,0.0601
"zeker",121,0.0601
"ervoor",121,0.0601
"manier",121,0.0601
"nederlanders",121,0.0601
"miljard",120,0.0596
"verder",120,0.0596
"wie",120,0.0596
"dingen",119,0.0591
"zit",119,0.0591
"eigenlijk",118,0.0586
"hem",118,0.0586
"terug",117,0.0581
"misschien",116,0.0576
"christenunie",116,0.0576
"leven",116,0.0576
"landen",115,0.0571
"weten",114,0.0566
"vinden",114,0.0566
"wilt",114,0.0566
"zitten",113,0.0561
"haersma",113,0.0561
"beter",112,0.0556
"daarom",112,0.0556
"niets",112,0.0556
"dag",112,0.0556
"vragen",111,0.0551
"nou",109,0.0541
"gebeurt",108,0.0536
"echter",108,0.0536
"mogelijk",108,0.0536
"blijven",107,0.0531
"zelfs",106,0.0526
"nemen",106,0.0526
"wet",106,0.0526
"terwijl",106,0.0526
"politiek",105,0.0521
"zaken",105,0.0521
"maakt",105,0.0521
"bent",104,0.0516
"gemaakt",104,0.0516
"goede",104,0.0516
0,103,0.0511
"nederlandse",102,0.0506
"bijvoorbeeld",102,0.0506
"samen",101,0.0502
"systeem",101,0.0502
"waren",101,0.0502
"zo'n",101,0.0502
"mevrouw",98,0.0487
"debat",97,0.0482
"vandaag",96,0.0477
"houden",96,0.0477
"begroting",96,0.0477
"ander",95,0.0472
"partijen",95,0.0472
"tweede",95,0.0472
"extra",95,0.0472
"toe",95,0.0472
"kinderen",94,0.0467
"hadden",94,0.0467
"aantal",92,0.0457
"betekent",91,0.0452
"vervolgens",91,0.0452
"vaak",91,0.0452
"krijgt",90,0.0447
"iemand",89,0.0442
"denken",88,0.0437
"europa",87,0.0432
"daarover",87,0.0432
"ieder",87,0.0432
"geval",87,0.0432
"kom",87,0.0432
"discussie",86,0.0427
"ouderen",86,0.0427
"probleem",86,0.0427
"groot",86,0.0427
"beleid",86,0.0427
"vindt",85,0.0422
