"Some top phrases containing 6 words (without punctuation marks)","Occurrences"
"de heer van haersma buma cda",91
"de heer van der staaij sgp",50
"gaat over tot de orde van",24
"voorzitter deze motie is voorgesteld door",24
"en gaat over tot de orde",24
"de voorzitter deze motie is voorgesteld",24
"over tot de orde van de",24
"tot de orde van de dag",24
"heer van haersma buma cda ik",21
"blijkt wordt de indiening ervan voldoende",19
"mij blijkt wordt de indiening ervan",19
"wordt de indiening ervan voldoende ondersteund",19
"naar mij blijkt wordt de indiening",19
"de heer bontes groep bontes/van klaveren",19
"deze motie is voorgesteld door de",16
"motie is voorgesteld door de leden",16
"de kamer gehoord de beraadslaging constaterende",12
"de kamer gehoord de beraadslaging overwegende",12
"kamer gehoord de beraadslaging overwegende dat",12
"kamer gehoord de beraadslaging constaterende dat",12
"met de partij van de arbeid",10
"heer van der staaij sgp het",9
"de heer zijlstra vvd de heer",8
"motie is voorgesteld door het lid",8
"de heer roemer sp het is",8
"heer van der staaij sgp ik",8
"heer van haersma buma cda dat",8
"de heer kuzu groep kuzu/öztürk ik",8
"van de heer van der staaij",8
"deze motie is voorgesteld door het",8
