"grant_title","id","organization","total_amount","group","Grant start date","start_month","start_day","start_year"
"CAS",93,"CAS",4919,"low",01/01/11,1,1,2011
"Almata",248,"Almata",5145,"low",01/01/14,1,1,2014
"NEA",28,"NEA",5349,"low",01/01/09,1,1,2009
"NEA",72,"NEA",6777,"low",01/01/10,1,1,2010
"NEA",115,"NEA",7063,"low",01/01/11,1,1,2011
"NEA",237,"NEA",7063,"low",01/01/14,1,1,2014
"NEA",156,"NEA",7303,"low",01/01/12,1,1,2012
"NEA",197,"NEA",7461,"low",01/01/13,1,1,2013
"NEA",272,"NEA",7641,"low",01/01/15,1,1,2015
"Lindenhorst",42,"Lindenhorst",8758,"low",01/01/09,1,1,2009
"IWI",202,"IWI",9041,"low",01/01/13,1,1,2013
"IWI",120,"IWI",9647,"low",01/01/11,1,1,2011
"CAS",4,"CAS",9719,"low",01/01/09,1,1,2009
"Lindenhorst",171,"Lindenhorst",10194,"low",01/01/12,1,1,2012
"CAS",48,"CAS",10236,"low",01/01/10,1,1,2010
"IWI",161,"IWI",10589,"low",01/01/12,1,1,2012
"Lindenhorst",87,"Lindenhorst","10,81","low",01/01/10,1,1,2010
"Almata",210,"Almata",10961,"low",01/01/13,1,1,2013
"Lindenhorst",130,"Lindenhorst","11,33","low",01/01/11,1,1,2011
"DHC",255,"DHC",12304,"low",01/01/15,1,1,2015
"IWI",77,"IWI",12622,"low",01/01/10,1,1,2010
"DHC",217,"DHC",13148,"low",01/01/14,1,1,2014
"ASZW",201,"ASZW",13399,"low",01/01/13,1,1,2013
"ASZW",160,"ASZW",14047,"low",01/01/12,1,1,2012
"DHC",177,"DHC",14283,"low",01/01/13,1,1,2013
"Doc-Direkt",95,"Doc-Direkt",14723,"low",01/01/11,1,1,2011
"ASZW",76,"ASZW",14766,"low",01/01/10,1,1,2010
"ASZW",119,"ASZW",14817,"low",01/01/11,1,1,2011
"DRZ",24,"DRZ",15004,"low",01/01/09,1,1,2009
"DHC",136,"DHC",15071,"low",01/01/12,1,1,2012
"DRZ",111,"DRZ",15675,"low",01/01/11,1,1,2011
"DRZ",68,"DRZ",15766,"low",01/01/10,1,1,2010
"DHC",94,"DHC",16032,"low",01/01/11,1,1,2011
"LFR",52,"LFR",16203,"low",01/01/10,1,1,2010
"ASZW",276,"ASZW",16543,"low",01/01/15,1,1,2015
"IWI",32,"IWI","16,6","low",01/01/09,1,1,2009
"Octr. Centrum",20,"Octr. Centrum",16688,"low",01/01/09,1,1,2009
"NVI",172,"NVI",16994,"low",01/01/12,1,1,2012
"CBI",2,"CBI","17,189925","low",01/01/09,1,1,2009
"DHC",49,"DHC","17,33","low",01/01/10,1,1,2010
"CBI",91,"CBI",18288,"low",01/01/11,1,1,2011
"ASZW",31,"ASZW",18553,"low",01/01/09,1,1,2009
"ASZW",241,"ASZW",19458,"low",01/01/14,1,1,2014
"CBI",215,"CBI",19926,"low",01/01/14,1,1,2014
"DRZ",152,"DRZ",20695,"low",01/01/12,1,1,2012
"CBI",134,"CBI",21544,"low",01/01/12,1,1,2012
"RVOB",25,"RVOB",21818,"low",01/01/09,1,1,2009
"RVOB",69,"RVOB",23366,"low",01/01/10,1,1,2010
"RVOB",182,"RVOB",23698,"low",01/01/13,1,1,2013
"DRZ",194,"DRZ",23944,"low",01/01/13,1,1,2013
"RVOB",112,"RVOB",24276,"low",01/01/11,1,1,2011
"NA",118,"NA",24376,"low",01/01/11,1,1,2011
"RVOB",153,"RVOB",24413,"low",01/01/12,1,1,2012
"Almata",40,"Almata",24462,"low",01/01/09,1,1,2009
"RVOB",223,"RVOB",25182,"low",01/01/14,1,1,2014
"DRZ",234,"DRZ",25207,"low",01/01/14,1,1,2014
"PD",21,"PD",25255,"low",01/01/09,1,1,2009
"PD",66,"PD",25404,"low",01/01/10,1,1,2010
"NA",75,"NA",25727,"low",01/01/10,1,1,2010
"LFR",7,"LFR",25746,"low",01/01/09,1,1,2009
"NA",30,"NA",25949,"low",01/01/09,1,1,2009
"Lindenhorst",212,"Lindenhorst",26278,"low",01/01/13,1,1,2013
"RVOB",260,"RVOB",26314,"low",01/01/15,1,1,2015
"NA",159,"NA",26521,"low",01/01/12,1,1,2012
"Justis",37,"Justis",26842,"low",01/01/09,1,1,2009
"CBI",175,"CBI",26944,"low",01/01/13,1,1,2013
"Justis",82,"Justis",28083,"low",01/01/10,1,1,2010
"NVI",131,"NVI",28425,"low",01/01/11,1,1,2011
"Almata",169,"Almata",29704,"low",01/01/12,1,1,2012
"CBI",46,"CBI",29816,"low",01/01/10,1,1,2010
"Justis",165,"Justis",31394,"low",01/01/12,1,1,2012
"AT",15,"AT",31643,"low",01/01/09,1,1,2009
"NA",200,"NA",31643,"low",01/01/13,1,1,2013
"AT",106,"AT",31746,"low",01/01/11,1,1,2011
"DPC",133,"DPC",31916,"low",01/01/12,1,1,2012
"AT",229,"AT",32025,"low",01/01/14,1,1,2014
"AT",189,"AT",32635,"low",01/01/13,1,1,2013
"AT",147,"AT",32838,"low",01/01/12,1,1,2012
"Almata",128,"Almata",33552,"low",01/01/11,1,1,2011
"DPC",90,"DPC",33816,"low",01/01/11,1,1,2011
"Justis",124,"Justis",33846,"low",01/01/11,1,1,2011
"AT",62,"AT","34,11","low",01/01/10,1,1,2010
"Almata",85,"Almata","34,12","low",01/01/10,1,1,2010
"AT",266,"AT",35046,"low",01/01/15,1,1,2015
"Justis",245,"Justis",36411,"low",01/01/14,1,1,2014
"ACBG",39,"ACBG",36983,"low",01/01/09,1,1,2009
"Justis",280,"Justis",37127,"low",01/01/15,1,1,2015
"ACBG",209,"ACBG",37194,"low",01/01/13,1,1,2013
"NA",240,"NA",37217,"low",01/01/14,1,1,2014
"Justis",207,"Justis",38205,"low",01/01/13,1,1,2013
"GDI",35,"GDI",38518,"low",01/01/09,1,1,2009
"CIBG",170,"CIBG",38545,"low",01/01/12,1,1,2012
