"symbol","date","price"
"DPC","Jan 2009","7.391"
"CBI","Jan 2009","17.041"
"BPR","Jan 2009","25.21"
"CAS","Jan 2009","4.322"
"CFI","Jan 2009","62.118"
"KLPD","Jan 2009","564.352"
"LFR","Jan 2009","24.143"
"P-Direkt","Jan 2009","2.278"
"RGD","Jan 2009","98.989"
"UBR","Jan 2009","43.644"
"DTO","Jan 2009","359.867"
"DVD","Jan 2009","120.935"
"Paresto","Jan 2009","112.974"
"AID","Jan 2009","70.66"
"AT","Jan 2009","11.885"
"Dictu","Jan 2009","112.065"
"DLG","Jan 2009","111.94"
"DR","Jan 2009","155.768"
"EVD","Jan 2009","57.548"
"Octr. Centrum","Jan 2009","16.553"
"PD","Jan 2009","22.654"
"Senter/Novem","Jan 2009","91.513"
"VWA","Jan 2009","46.228"
"DRZ","Jan 2009","0.406"
"RVOB","Jan 2009","20.766"
"ILT","Jan 2009","93.207"
"KNMI","Jan 2009","37.933"
"NEA","Jan 2009","5.349"
"RWS","Jan 2009","2.322.94"
"NA","Jan 2009","22.82"
"ASZW","Jan 2009","12.026"
"IWI","Jan 2009","16.6"
"CJIB","Jan 2009","88.655"
"DJI","Jan 2009","2.266.59"
"GDI","Jan 2009","35.855"
"IND","Jan 2009","291.005"
"Justis","Jan 2009","7.386"
"NFI","Jan 2009","68.941"
"ACBG","Jan 2009","0.178"
"Almata","Jan 2009","23.835"
"CIBG","Jan 2009","41.775"
"Lindenhorst","Jan 2009","8.506"
"NVI","Jan 2009","36.581"
"RIVM","Jan 2009","164.764"
"DPC","Jan 2010","15.305"
"CBI","Jan 2010","28.577"
"BPR","Jan 2010","30.234"
"CAS","Jan 2010","3.486"
"DHC","Jan 2010","17.008"
"FMH","Jan 2010",
"KLPD","Jan 2010","574.097"
"LFR","Jan 2010","14.979"
"Logius","Jan 2010","45.86"
"P-Direkt","Jan 2010","6.533"
"RGD","Jan 2010","23.088"
"UBR","Jan 2010","53.616"
"DTO","Jan 2010","364.121"
"DVD","Jan 2010","255.31"
"Paresto","Jan 2010","108.939"
"AGNL","Jan 2010","179.864"
"AID","Jan 2010","68.694"
"AT","Jan 2010","12.395"
"Dictu","Jan 2010","122.372"
"DLG","Jan 2010","110.252"
"DR","Jan 2010","160.111"
"PD","Jan 2010","22.335"
"VWA","Jan 2010","41.166"
"DRZ","Jan 2010","0.552"
"RVOB","Jan 2010","22.595"
"ILT","Jan 2010","89.148"
"KNMI","Jan 2010","38.089"
"NEA","Jan 2010","6.773"
"RWS","Jan 2010","2.409.88"
"DUO","Jan 2010","231.07"
"NA","Jan 2010","22.176"
"ASZW","Jan 2010","13.299"
"IWI","Jan 2010","12.622"
"CJIB","Jan 2010","47.963"
"DJI","Jan 2010","2.127.32"
"GDI","Jan 2010","38.876"
"IND","Jan 2010","314.974"
"Justis","Jan 2010","8.252"
"NFI","Jan 2010","66.311"
"ACBG","Jan 2010","0.178"
"Almata","Jan 2010","33.254"
"CIBG","Jan 2010","43.384"
"Lindenhorst","Jan 2010","10.306"
"NVI","Jan 2010","39.034"
"RIVM","Jan 2010","131.314"
"DPC","Jan 2011","20.008"
"CBI","Jan 2011","17.75"
"BPR","Jan 2011","35.204"
"CAS","Jan 2011","4.919"
"DHC","Jan 2011","15.078"
"Doc-Direkt","Jan 2011","7.369"
"FMH","Jan 2011","30.711"
"IND","Jan 2011","307.291"
"Logius","Jan 2011","39.154"
"P-Direkt","Jan 2011","6.733"
"RGD","Jan 2011","21.57"
"UBR","Jan 2011","31.177"
"DTO","Jan 2011","355.555"
"DVD","Jan 2011","76.126"
"Paresto","Jan 2011","86.228"
"AGNL","Jan 2011","183.25"
"AT","Jan 2011","11.885"
"Dictu","Jan 2011","114.099"
"DLG","Jan 2011","106.416"
"DR","Jan 2011","157.58"
"NVWA","Jan 2011","132.447"
"DRZ","Jan 2011","0.251"
"RVOB","Jan 2011","21.791"
"ILT","Jan 2011","84.764"
"KNMI","Jan 2011","39.488"
"NEA","Jan 2011","7.04"
"RWS","Jan 2011","2.197.10"
"DUO","Jan 2011","239.49"
"NA","Jan 2011","21.506"
"ASZW","Jan 2011","14.328"
"IWI","Jan 2011","9.647"
"CJIB","Jan 2011","48.765"
"DJI","Jan 2011","2.138.65"
"GDI","Jan 2011","35.4"
"Justis","Jan 2011","16.099"
"KLPD","Jan 2011","565.769"
"NFI","Jan 2011","73.386"
"ACBG","Jan 2011","0.178"
"Almata","Jan 2011","31.993"
"CIBG","Jan 2011","35.327"
"Lindenhorst","Jan 2011","10.819"
"NVI","Jan 2011","10.053"
"RIVM","Jan 2011","160.06"
"DPC","Jan 2012","19.43"
"CBI","Jan 2012","21.158"
"BPR","Jan 2012","26.645"
"DHC","Jan 2012","14.085"
"FMH","Jan 2012","32.067"
"IND","Jan 2012","290.964"
"Logius","Jan 2012","42.755"
"P-Direkt","Jan 2012","7.035"
"RGD","Jan 2012","24.044"
"UBR","Jan 2012","31.817"
"DTO","Jan 2012","335.401"
"DVD","Jan 2012","78.321"
"Paresto","Jan 2012","86.155"
"AGNL","Jan 2012","177.455"
"AT","Jan 2012","13.006"
"Dictu","Jan 2012","127.907"
"DLG","Jan 2012","91.378"
"DR","Jan 2012","146.208"
"NVWA","Jan 2012","121.439"
"DRZ","Jan 2012","0.151"
"RVOB","Jan 2012","22.311"
"ILT","Jan 2012","147.822"
"KNMI","Jan 2012","42.814"
"NEA","Jan 2012","7.299"
"RWS","Jan 2012","2.230.36"
"DUO","Jan 2012","253.726"
"NA","Jan 2012","23.374"
"ASZW","Jan 2012","13.209"
"IWI","Jan 2012","10.589"
"CJIB","Jan 2012","48.071"
"DJI","Jan 2012","2.145.85"
"GDI","Jan 2012","43.691"
"Justis","Jan 2012","15.558"
"KLPD","Jan 2012","574.484"
"NFI","Jan 2012","70.587"
"ACBG","Jan 2012","0.18"
"Almata","Jan 2012","28.438"
"CIBG","Jan 2012","33.622"
"Lindenhorst","Jan 2012","9.687"
"NVI","Jan 2012","6.249"
"RIVM","Jan 2012","175.506"
"DPC","Jan 2013","22.561"
"CBI","Jan 2013","25.52"
"BPR","Jan 2013","19.468"
"DHC","Jan 2013","13.3"
"FMH","Jan 2013","30.645"
"Logius","Jan 2013","40.59"
"P-Direkt","Jan 2013","5.126"
"RGD","Jan 2013","22.06"
"RVOB","Jan 2013","21.888"
"SSC-ICT","Jan 2013","35.663"
"UBR","Jan 2013","33.194"
"DTO","Jan 2013","270.638"
"DVD","Jan 2013","215.641"
"Paresto","Jan 2013","77.479"
"AGNL","Jan 2013","149.833"
"AT","Jan 2013","11.622"
"Dictu","Jan 2013","156.097"
"DLG","Jan 2013","78.926"
"DR","Jan 2013","147.995"
"NVWA","Jan 2013","129.522"
"DRZ","Jan 2013","0.064"
"ILT","Jan 2013","132.231"
"KNMI","Jan 2013","38.571"
"NEA","Jan 2013","7.37"
"RWS","Jan 2013","2.270.04"
"DUO","Jan 2013","258.405"
"NA","Jan 2013","28.335"
"ASZW","Jan 2013","12.978"
"IWI","Jan 2013","9.041"
"CJIB","Jan 2013","103.358"
"DJI","Jan 2013","2.313.67"
"GDI","Jan 2013","62.721"
"IND","Jan 2013","315.432"
"Justis","Jan 2013","17.619"
"NFI","Jan 2013","68.273"
"ACBG","Jan 2013","0.203"
"Almata","Jan 2013","10.183"
"CIBG","Jan 2013","34.174"
"Lindenhorst","Jan 2013","25.155"
"RIVM","Jan 2013","151.73"
"DPC","Jan 2014","24.632"
"CBI","Jan 2014","19.564"
"BPR","Jan 2014","25.272"
"DHC","Jan 2014","12.182"
"FMH","Jan 2014","20.456"
